id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,clearance,goalkeeper,counterpress,duel,dribble,shot,interception,out,50_50,ball_recovery,foul_committed,foul_won,block,bad_behaviour,substitution,pass,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_switch,related_events,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_deflected,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,block_deflection,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,clearance_left_foot,foul_committed_card_id,foul_committed_card_name,foul_committed_penalty,foul_won_defensive,foul_won_penalty,location,bad_behaviour_card_id,bad_behaviour_card_name,tactics_formation,tactics_lineup_0_player_id,tactics_lineup_0_player_name,tactics_lineup_0_position_id,tactics_lineup_0_position_name,tactics_lineup_0_jersey_number,tactics_lineup_1_player_id,tactics_lineup_1_player_name,tactics_lineup_1_position_id,tactics_lineup_1_position_name,tactics_lineup_1_jersey_number,tactics_lineup_2_player_id,tactics_lineup_2_player_name,tactics_lineup_2_position_id,tactics_lineup_2_position_name,tactics_lineup_2_jersey_number,tactics_lineup_3_player_id,tactics_lineup_3_player_name,tactics_lineup_3_position_id,tactics_lineup_3_position_name,tactics_lineup_3_jersey_number,tactics_lineup_4_player_id,tactics_lineup_4_player_name,tactics_lineup_4_position_id,tactics_lineup_4_position_name,tactics_lineup_4_jersey_number,tactics_lineup_5_player_id,tactics_lineup_5_player_name,tactics_lineup_5_position_id,tactics_lineup_5_position_name,tactics_lineup_5_jersey_number,tactics_lineup_6_player_id,tactics_lineup_6_player_name,tactics_lineup_6_position_id,tactics_lineup_6_position_name,tactics_lineup_6_jersey_number,tactics_lineup_7_player_id,tactics_lineup_7_player_name,tactics_lineup_7_position_id,tactics_lineup_7_position_name,tactics_lineup_7_jersey_number,tactics_lineup_8_player_id,tactics_lineup_8_player_name,tactics_lineup_8_position_id,tactics_lineup_8_position_name,tactics_lineup_8_jersey_number,tactics_lineup_9_player_id,tactics_lineup_9_player_name,tactics_lineup_9_position_id,tactics_lineup_9_position_name,tactics_lineup_9_jersey_number,tactics_lineup_10_player_id,tactics_lineup_10_player_name,tactics_lineup_10_position_id,tactics_lineup_10_position_name,tactics_lineup_10_jersey_number,player,position,interception_outcome_id,interception_outcome_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,block_offensive,goalkeeper_success_in_play,foul_committed_advantage,foul_won_advantage,pass_cross,duel_type_id,duel_type_name,clearance_head,clearance_aerial_won,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate,shot_first_time
137a080a-0984-4a76-be10-50be5cbc0d5e,2113,2,00:12:38.025,57,38,30,Pass,147,217,Barcelona,4,From Throw In,217,Barcelona,1.9283,,5c265f4a-eb79-4a93-b830-d8bffcb3718e,,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,13.7,38.6,4324.0,Daniel Alves da Silva,33.09154,1.1964628,1.0,Ground Pass,25.8,69.4,40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,bc945e0f-a1c0-4e16-9588-e57345dcc03a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc945e0f-a1c0-4e16-9588-e57345dcc03a,2114,2,00:12:39.953,57,39,42,Ball Receipt*,147,217,Barcelona,4,From Throw In,217,Barcelona,,,137a080a-0984-4a76-be10-50be5cbc0d5e,,4324.0,Daniel Alves da Silva,2.0,Right Back,25.8,69.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3d9335c-263f-4a4c-bacd-d1f1e55567b3,2115,2,00:12:39.953,57,39,43,Carry,147,217,Barcelona,4,From Throw In,217,Barcelona,3.5429,,94ec0005-87f8-44ae-9e5d-5b613f609e18,,4324.0,Daniel Alves da Silva,2.0,Right Back,25.8,69.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bc945e0f-a1c0-4e16-9588-e57345dcc03a,,35.8,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94ec0005-87f8-44ae-9e5d-5b613f609e18,2116,2,00:12:43.496,57,43,30,Pass,147,217,Barcelona,4,From Throw In,217,Barcelona,2.6199,,cda624e5-0b0c-4225-a4f4-bceda6fbe7e1,,4324.0,Daniel Alves da Silva,2.0,Right Back,35.8,69.6,10609.0,Jérémy Mathieu,49.640003,-1.6879051,2.0,Low Pass,30.0,20.3,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cda624e5-0b0c-4225-a4f4-bceda6fbe7e1,2117,2,00:12:46.116,57,46,42,Ball Receipt*,147,217,Barcelona,4,From Throw In,217,Barcelona,,,94ec0005-87f8-44ae-9e5d-5b613f609e18,,10609.0,Jérémy Mathieu,5.0,Left Center Back,30.0,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305f23ca-61d7-46e1-a78d-568201f443e4,2118,2,00:12:46.116,57,46,43,Carry,147,217,Barcelona,4,From Throw In,217,Barcelona,0.9795,,cda624e5-0b0c-4225-a4f4-bceda6fbe7e1,,10609.0,Jérémy Mathieu,5.0,Left Center Back,30.0,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fa118670-4ed1-4135-822b-0945f1dbc0c8,,34.9,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa118670-4ed1-4135-822b-0945f1dbc0c8,2119,2,00:12:47.095,57,47,30,Pass,147,217,Barcelona,4,From Throw In,217,Barcelona,1.3649,,2ec8dbc1-a57a-4a2b-bb87-9ab31174161d,,10609.0,Jérémy Mathieu,5.0,Left Center Back,34.9,22.1,5211.0,Jordi Alba Ramos,14.06165,-0.98279375,1.0,Ground Pass,42.7,10.4,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ec8dbc1-a57a-4a2b-bb87-9ab31174161d,2120,2,00:12:48.460,57,48,42,Ball Receipt*,147,217,Barcelona,4,From Throw In,217,Barcelona,,,fa118670-4ed1-4135-822b-0945f1dbc0c8,,5211.0,Jordi Alba Ramos,6.0,Left Back,42.7,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3c02102-a68f-499f-83d7-08a7bc42cf11,2121,2,00:12:48.460,57,48,43,Carry,147,217,Barcelona,4,From Throw In,217,Barcelona,0.9309,,2ec8dbc1-a57a-4a2b-bb87-9ab31174161d,,5211.0,Jordi Alba Ramos,6.0,Left Back,42.7,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8aa5b413-efa5-4f0e-99a0-31c8307ceae3,,46.0,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8aa5b413-efa5-4f0e-99a0-31c8307ceae3,2122,2,00:12:49.391,57,49,30,Pass,147,217,Barcelona,4,From Throw In,217,Barcelona,1.179,,e1a52556-1939-4c8e-b9d5-edd9120b3bc5,,5211.0,Jordi Alba Ramos,6.0,Left Back,46.0,12.1,5503.0,Lionel Andrés Messi Cuccittini,23.345236,1.099486,1.0,Ground Pass,56.6,32.9,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958ad84d-59df-4e2a-a159-9dcb5d4a4a51,2123,2,00:12:49.790,57,49,17,Pressure,147,217,Barcelona,4,From Throw In,360,Rayo Vallecano,2.889609,,146e9c7f-2554-4a2b-852c-898316a982a9,,6852.0,Jozabed Sánchez Ruiz,15.0,Left Center Midfield,61.7,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c5584976-38cd-4d67-b4d0-1d935c60d634,e1a52556-1939-4c8e-b9d5-edd9120b3bc5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1a52556-1939-4c8e-b9d5-edd9120b3bc5,2124,2,00:12:50.570,57,50,42,Ball Receipt*,147,217,Barcelona,4,From Throw In,217,Barcelona,,,8aa5b413-efa5-4f0e-99a0-31c8307ceae3,,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,56.6,32.9,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,958ad84d-59df-4e2a-a159-9dcb5d4a4a51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146e9c7f-2554-4a2b-852c-898316a982a9,2125,2,00:12:50.570,57,50,43,Carry,147,217,Barcelona,4,From Throw In,217,Barcelona,2.0434,,958ad84d-59df-4e2a-a159-9dcb5d4a4a51,,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,56.6,32.9,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,c5584976-38cd-4d67-b4d0-1d935c60d634,e1a52556-1939-4c8e-b9d5-edd9120b3bc5,57.8,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5584976-38cd-4d67-b4d0-1d935c60d634,2126,2,00:12:52.614,57,52,30,Pass,147,217,Barcelona,4,From Throw In,217,Barcelona,0.8368,,1907b23e-48b3-49ba-b34c-15d009a5ccb5,,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,57.8,28.0,5216.0,Andrés Iniesta Luján,11.988745,-1.017502,1.0,Ground Pass,64.1,17.8,38.0,Left Foot,,,,True,,,,,,,,,,,,,,,,,,958ad84d-59df-4e2a-a159-9dcb5d4a4a51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907b23e-48b3-49ba-b34c-15d009a5ccb5,2127,2,00:12:53.450,57,53,42,Ball Receipt*,147,217,Barcelona,4,From Throw In,217,Barcelona,,,c5584976-38cd-4d67-b4d0-1d935c60d634,,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,64.1,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5e51c68-f4b4-4466-81b2-6992a5f3fab0,2128,2,00:12:53.450,57,53,43,Carry,147,217,Barcelona,4,From Throw In,217,Barcelona,1.0229,,1907b23e-48b3-49ba-b34c-15d009a5ccb5,,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,64.1,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c3e46553-0d32-4995-84c9-79eeb1599814,,64.1,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3e46553-0d32-4995-84c9-79eeb1599814,2129,2,00:12:54.473,57,54,30,Pass,147,217,Barcelona,4,From Throw In,217,Barcelona,2.3761,,ef4c277a-516f-4087-a7bb-276d119de20c,,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,64.1,17.8,3958.0,Pedro Eliezer Rodríguez Ledesma,25.176577,-0.5472314,1.0,Ground Pass,85.6,4.7,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef4c277a-516f-4087-a7bb-276d119de20c,2130,2,00:12:56.849,57,56,42,Ball Receipt*,147,217,Barcelona,4,From Throw In,217,Barcelona,,,c3e46553-0d32-4995-84c9-79eeb1599814,,3958.0,Pedro Eliezer Rodríguez Ledesma,21.0,Left Wing,85.6,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a972d2c1-e11d-45a3-8c46-9935a7768447,2131,2,00:12:56.849,57,56,43,Carry,147,217,Barcelona,4,From Throw In,217,Barcelona,2.4371,,0c0848f2-1e9c-4d6c-8096-c383a58dd46f,,3958.0,Pedro Eliezer Rodríguez Ledesma,21.0,Left Wing,85.6,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ef4c277a-516f-4087-a7bb-276d119de20c,,92.1,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c0848f2-1e9c-4d6c-8096-c383a58dd46f,2132,2,00:12:59.286,57,59,30,Pass,147,217,Barcelona,4,From Throw In,217,Barcelona,1.1311,,90d448eb-ec4c-41ff-a029-795dc7d57bc4,,3958.0,Pedro Eliezer Rodríguez Ledesma,21.0,Left Wing,92.1,5.3,5216.0,Andrés Iniesta Luján,14.940214,2.3041089,1.0,Ground Pass,82.1,16.4,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90d448eb-ec4c-41ff-a029-795dc7d57bc4,2133,2,00:13:00.418,58,0,42,Ball Receipt*,147,217,Barcelona,4,From Throw In,217,Barcelona,,,0c0848f2-1e9c-4d6c-8096-c383a58dd46f,,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,82.1,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e83f41e-4504-45f4-83df-0d214f0f741f,2134,2,00:13:00.418,58,0,43,Carry,147,217,Barcelona,4,From Throw In,217,Barcelona,2.3929,,90d448eb-ec4c-41ff-a029-795dc7d57bc4,,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,82.1,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a5425471-6c1d-4c86-b7b0-341e0f7e6a9f,,82.5,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5425471-6c1d-4c86-b7b0-341e0f7e6a9f,2135,2,00:13:02.810,58,2,30,Pass,147,217,Barcelona,4,From Throw In,217,Barcelona,2.1953,,6e73195f-527f-4396-9df7-6632187ba279,,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,82.5,20.9,20131.0,Xavier Hernández Creus,35.78966,1.7364043,3.0,High Pass,76.6,56.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
